Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minutes
Monday,18-30,Male,Elementary school,2-5yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,15,50
Monday,18-30,Male,Elementary school,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,15,50
Sunday,Over 51,Male,Junior high school,1-2yr,Automobile,Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,9,45
Sunday,Over 51,Male,Junior high school,5-10yr,Pick up upto 10Q,Governmental,Unknown, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,9,45
Thursday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,2-5yrs,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,17,35
Thursday,18-30,Male,Junior high school,2-5yr,Public (13?45 seats),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,17,35
Thursday,31-50,Male,Junior high school,2-5yr,Long lorry,Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,17,35
Sunday,18-30,Unknown,Junior high school,2-5yr,Automobile,Owner,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Driving carelessly,Slight Injury,20,50
Sunday,Over 51,Male,Junior high school,Above 10yr,Automobile,Owner,5-10yrs, Church areas,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,20,50
Thursday,18-30,Male,Junior high school,Above 10yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,21,32
Thursday,31-50,Male,Elementary school,5-10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,21,32
Monday,18-30,Male,Junior high school,5-10yr,Long lorry,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,19,55
Monday,18-30,Male,Junior high school,2-5yr,Public (12 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,19,55
Monday,18-30,Male,Elementary school,5-10yr,Public (12 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Parked,Driver or rider,Male,18-30,2,Not a Pedestrian,No distancing,Slight Injury,16,10
Monday,Over 51,Male,Junior high school,5-10yr,Other,Governmental,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,16,10
Monday,31-50,Unknown,Junior high school,Above 10yr,Other,Owner,Below 1yr, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Overturning,Slight Injury,15,25
Thursday,Under 18,Male,Junior high school,5-10yr,Other,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Serious Injury,23,36
Thursday,Under 18,Male,Junior high school,Above 10yr,Public (12 seats),Owner,Unknown,Other,One way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,No priority to vehicle,Serious Injury,23,36
Thursday,Under 18,Male,Elementary school,Below 1yr,Lorry (41?100Q),Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Serious Injury,23,36
Thursday,Under 18,Male,Elementary school,5-10yr,Other,Owner,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,23,36
Monday,Over 51,Male,Elementary school,1-2yr,Public (12 seats),Owner,Unknown, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,na,na,Not a Pedestrian,Other,Slight Injury,20,0
Monday,31-50,Unknown,Elementary school,5-10yr,Other,Governmental,Unknown,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Other,Slight Injury,20,0
Monday,31-50,Male,Elementary school,5-10yr,Lorry (11?40Q),Owner,Unknown,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,20,0
Friday,18-30,Male,Elementary school,2-5yr,Other,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Rollover,2,1,Unknown,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17,54
Friday,31-50,Male,Elementary school,5-10yr,Other,Owner,Unknown, Church areas,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,17,54
Monday,31-50,Unknown,Junior high school,5-10yr,Other,Owner,Above 10yr, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,No priority to vehicle,Slight Injury,18,4
Friday,18-30,Male,Junior high school,Above 10yr,Pick up upto 10Q,Owner,Unknown,  Recreational areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,17,0
Saturday,Unknown,Female,Junior high school,Above 10yr,Automobile,Owner,Unknown,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,1,15
Saturday,18-30,Unknown,Elementary school,Below 1yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,1,15
Saturday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,1,15
Saturday,18-30,Male,Elementary school,5-10yr,Public (13?45 seats),Owner,Unknown, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Unknown,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,1,15
Wednesday,31-50,Male,Elementary school,2-5yr,Automobile,Governmental,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,18,30
Wednesday,18-30,Male,Elementary school,Above 10yr,Pick up upto 10Q,Governmental,Unknown,Office areas,other,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,18,30
Friday,18-30,Male,Elementary school,2-5yr,Lorry (41?100Q),Owner,Unknown,Other,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,No priority to vehicle,Slight Injury,15,52
Friday,31-50,Male,Junior high school,Above 10yr,Public (12 seats),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,15,52
Friday,18-30,Male,Junior high school,Below 1yr,Other,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Driver or rider,Male,18-30,2,Not a Pedestrian,No priority to pedestrian,Slight Injury,15,52
Tuesday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),Organization,Unknown,Other,other,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Serious Injury,12,33
Monday,Under 18,Unknown,Elementary school,5-10yr,Pick up upto 10Q,Governmental,2-5yrs,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Changing lane to the left,Slight Injury,8,59
Monday,Over 51,Male,Elementary school,5-10yr,Other,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Turnover,Slight Injury,8,59
Saturday,31-50,Male,Elementary school,1-2yr,Lorry (41?100Q),Owner,Above 10yr,Other,other,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Male,Under 18,3,Not a Pedestrian,Driving to the left,Slight Injury,17,25
Sunday,18-30,Male,Elementary school,5-10yr,Ridden horse,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Reversing,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,0,53
Sunday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,2-5yrs, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving to the left,Slight Injury,0,53
Sunday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,2-5yrs,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,3,Going straight,Passenger,Male,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,0,53
Wednesday,31-50,Male,Elementary school,1-2yr,Stationwagen,Owner,2-5yrs, Church areas,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,15,20
Saturday,Under 18,Male,Junior high school,5-10yr,Other,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,18,23
Saturday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Unknown,Other,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,18,23
Friday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,1-2yr,School areas,other,Steep grade downward with mountainous terrain,No junction,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Moving Backward,Serious Injury,5,24
Saturday,18-30,Unknown,Junior high school,5-10yr,Long lorry,Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,12,15
Friday,31-50,Male,Junior high school,Below 1yr,Stationwagen,Owner,Below 1yr,Other,other,Steep grade downward with mountainous terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Reversing,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,22,15
Friday,31-50,Male,High school,Below 1yr,Public (12 seats),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Serious Injury,6,35
Friday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Not a Pedestrian,Driving carelessly,Serious Injury,6,35
Thursday,Under 18,Male,Junior high school,Below 1yr,Public (12 seats),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Going straight,Pedestrian,Male,31-50,3,Not a Pedestrian,Driving carelessly,Serious Injury,17,34
Thursday,Under 18,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Parked,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,17,34
Friday,18-30,Unknown,Junior high school,2-5yr,Automobile,Owner,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,1,4,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,4,0
Friday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown, Church areas,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,1,4,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,4,0
